stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 3,"Create_GTP,Connect_UE",0.733,0.8728,0.8919,0.8511,0.003999948501586914,20
Stage 3,Launch_Agent,0.2583,0.8888,0.8935,0.8771,0.004000186920166016,20
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP",0.7356,0.8666,0.8928,0.8694,0.004996538162231445,20
Stage 2,Deploy_malware,0.5877,0.8869,0.8855,0.3558,0.00500035285949707,20
Stage 2,Connect_NRF,0.7032,0.8802,0.8862,0.7504,0.003968954086303711,20
Stage 3,Create_GTP,0.7332,0.8729,0.8918,0.8512,0.004000663757324219,20
Stage 3,Launch_Agent,0.2588,0.8888,0.8934,0.8772,0.004999637603759766,20
Stage 2,Config_PB,0.5441,0.887,0.8889,0.2099,0.005000591278076172,20
Stage 1,Authentication,0.7335,0.8872,0.8819,0.8432,0.004000186920166016,20
Stage 3,"Connect_C2,Rule_based_MPB",0.3669,0.1987,0.8929,0.8725,0.00500178337097168,20
Stage 3,"Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.6966,0.8668,0.8862,0.7506,0.006999969482421875,20
Stage 3,Connect_NEF,0.7377,0.8754,0.8923,0.8612,0.006005525588989258,20
Stage 2,Portable_Execution,0.456,0.8885,0.3571,0.8702,0.0059986114501953125,20
Stage 2,Portable_Execution,0.4566,0.8886,0.3581,0.8702,0.0039980411529541016,20
Stage 3,"Connect_NRF,Connect_SMF",0.7008,0.8749,0.8863,0.7507,0.003999233245849609,20
Stage 1,SystemUseNotPB,0.7284,0.8867,0.8789,0.8327,0.006002187728881836,20
Stage 3,Connect_SMF,0.7143,0.8745,0.8885,0.7918,0.004000663757324219,20
Stage 1,Input_Credentials,0.7371,0.8876,0.8842,0.8502,0.003999948501586914,20
Stage 3,Connect_UPF,0.7263,0.8668,0.8912,0.8403,0.004030942916870117,20
Stage 3,Exfiltrating_data,0.2563,0.8891,0.8933,0.8778,0.004029512405395508,20
Stage 1,Logon_PB,0.7346,0.8873,0.8827,0.845,0.004000186920166016,20
Stage 3,Rule_based_MPB,0.3678,0.1996,0.8932,0.8761,0.006997585296630859,20
Stage 3,"Connect_C2,Rule_based_MPB",0.3683,0.2004,0.8931,0.8727,0.004029750823974609,20
Stage 3,goal_node,0.7522,0.6673,0.6817,0.7491,0.004998445510864258,21
Stage 3,goal_node,0.7521,0.6675,0.6819,0.7492,0.003998994827270508,22
Stage 1,"Authentication,SystemUseNotPB",0.7285,0.8868,0.879,0.8328,0.0050275325775146484,22
Stage 3,"Token_Impersonation,goal_node",0.48,0.8564,0.895,0.7493,0.00496983528137207,23
Stage 2,Query_SMF,0.7279,0.8831,0.8801,0.8363,0.0050008296966552734,23
Stage 3,Launch_Agent,0.2593,0.889,0.8936,0.8773,0.003999948501586914,23
Stage 2,Query_SMF,0.728,0.8831,0.88,0.8364,0.004002571105957031,23
Stage 3,Rule_based_MPB,0.3688,0.2013,0.8932,0.8761,0.003969907760620117,23
Stage 1,SystemUseNotPB,0.7285,0.8868,0.8789,0.8328,0.004031181335449219,23
Stage 3,Connect_PCF,0.7288,0.8763,0.8909,0.833,0.003972053527832031,23
Stage 2,Agent_based_MPB,0.3709,0.8889,0.2016,0.8754,0.005029201507568359,23
Stage 2,Query_SMF,0.7281,0.8832,0.8801,0.8365,0.004029512405395508,23
Stage 3,"Connect_NRF,Connect_PCF,Connect_UPF",0.6969,0.867,0.8864,0.7508,0.004029750823974609,23
Stage 3,"Query_SMF,Connect_NRF,Connect_SMF,Connect_UPF",0.7358,0.867,0.8803,0.8914,0.003999948501586914,23
Stage 3,Connect_PCF,0.729,0.8764,0.8909,0.8331,0.003998994827270508,23
Stage 3,Rule_based_MPB,0.3692,0.2022,0.8933,0.8762,0.005000591278076172,23
Stage 3,Rule_based_MPB,0.3697,0.203,0.8933,0.8763,0.0039997100830078125,23
Stage 3,"Connect_NEF,Connect_UPF",0.7363,0.8671,0.893,0.8699,0.004029512405395508,23
Stage 3,Connect_C2,0.4682,0.381,0.8932,0.8729,0.003999471664428711,23
Stage 3,goal_node,0.7523,0.6677,0.6821,0.749,0.0039997100830078125,24
Stage 3,Create_GTP,0.7337,0.8734,0.892,0.8516,0.0049991607666015625,24
Stage 1,Authentication,0.7339,0.8875,0.8823,0.8436,0.004027128219604492,24
