attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
1,Stage 1,['Remote_access_PB'],0.9848,0.9962,0.9858,0.9522,0.004997730255126953,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.004998683929443359,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.003998994827270508,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.005997419357299805,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.005001068115234375,0
1,Stage 1,['Logon_PB'],0.9847,0.9962,0.9857,0.952,0.0039861202239990234,0
1,Stage 1,['Remote_access_PB'],0.9848,0.9962,0.9858,0.9522,0.0040018558502197266,0
1,Stage 1,['Remote_access_PB'],0.9848,0.9962,0.9858,0.9522,0.004000663757324219,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']",0.9607,0.9559,0.9737,0.9392,0.0040013790130615234,0
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.972,0.993,0.9737,0.9119,0.003996610641479492,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'SystemUseNotPB']",0.9813,0.9953,0.9825,0.9413,0.004000663757324219,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.0039920806884765625,0
1,Stage 1,['Input_Credentials'],0.9843,0.9961,0.9853,0.9508,0.0040018558502197266,0
1,Stage 1,['Remote_access_PB'],0.9848,0.9962,0.9858,0.9522,0.004988908767700195,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF']",0.8235,0.9559,0.9737,0.2413,0.0030002593994140625,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9607,0.9559,0.9737,0.9392,0.002997875213623047,0
1,Stage 1,['Input_Credentials'],0.9843,0.9961,0.9853,0.9508,0.004999876022338867,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.004000186920166016,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF']",0.9607,0.9559,0.9737,0.9392,0.004000425338745117,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Portable_Execution', 'Agent_based_MPB', 'Launch_Agent', 'goal_node']",0.5503,0.9922,0.0251,0.902,0.003997325897216797,6
1,Stage 1,['Logon_PB'],0.9847,0.9962,0.9857,0.952,0.0039997100830078125,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9824,0.9956,0.9836,0.9448,0.004970073699951172,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9607,0.9559,0.9737,0.9392,0.0029993057250976562,0
3,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF']",0.9607,0.9559,0.9737,0.9392,0.003000020980834961,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9824,0.9956,0.9836,0.9448,0.00400233268737793,0
2,Stage 1,"['Logon_PB', 'Bypass_Authentication', 'Access_Server']",0.972,0.993,0.9737,0.9119,0.003999471664428711,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.004000663757324219,0
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.972,0.993,0.9737,0.9119,0.0039997100830078125,0
1,Stage 1,['Input_Credentials'],0.9843,0.9961,0.9853,0.9508,0.0039997100830078125,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.004000186920166016,0
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'goal_node']",0.8327,0.9778,0.9215,0.034,0.0039997100830078125,7
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']",0.9607,0.9559,0.9737,0.9392,0.003000020980834961,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware']",0.9056,0.9922,0.9737,0.4772,0.0039997100830078125,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']",0.9607,0.9559,0.9737,0.9392,0.004000186920166016,0
